ano,average_global
1996,142.46444678712774
1997,147.41421226513523
1998,147.60832320288097
1999,146.4895930269095
2000,224.26834021022313
2001,218.43083157373573
2002,221.91695809738997
2003,218.27229756836905
2004,220.37745917066835
2005,221.54969574650033
2006,228.32814630108135
2007,221.21758063708094
2008,221.55112283723543
2009,224.02670932061247
2010,248.25496371782216
2011,222.54154376747078
2012,241.11183129042632
2013,240.55436720142603
2014,249.5357031823025
2015,251.68107183730768
2016,260.27436477221886
2017,256.92291742155896
2018,253.92943895465118
2019,248.71430165973214
2020,250.42745128599663
2021,249.37265057812252
2022,252.32293530102055
2023,253.35594454776592
2024,255.38497844814844
