nombre_colegio,rector,email,telefono,direccion,web,puntaje_2024,ranking_nacional,total_estudiantes,url_demo
LICEO CAMPO DAVID,JUAN CARLOS ARIAS CASTRO,lcd@liceocampodavid.edu.co gerencia@liceocampodavid.edu.co,7676146  --  3183970031,CL 46 SUR 21 27,,399.0,1,28,https://icfes-django-dashboard-production.up.railway.app/colegio/00e9fb33b0bc1189be5344d10c1ed0ea
COLEGIO ANGLO AMERICANO,CAROLINA MERCHAN CASTILLO,secretariabachillerato@caa.edu.co rectoria@angloamericanobogota.edu.co,6694181,CL 170 8 80,www.angloamericanobogota.edu.co,374.3,10,174,https://icfes-django-dashboard-production.up.railway.app/colegio/777c7a68107f9ef8deb685d3ed57d44e
LICEO NAVARRA,MARIA ISABEL LIZARRAGA,myriamsecrenav.academica@gmail.com myriamgomez@liceonavarra.edu.co,4299506 / 2637614,KR 74 24 B 80,,374.2,12,40,https://icfes-django-dashboard-production.up.railway.app/colegio/8791e2742136fa6d7dda270695a25a38
COLEGIO REUVEN FEUERSTEIN,FRANCISCO JAVIER BALLESTEROS RAMIREZ,feuersteinschool@hotmail.com,6811264  --  5370405  --  5364766,KR 100 B 153 85,www.reuvenschool.edu.co,369.9,19,24,https://icfes-django-dashboard-production.up.railway.app/colegio/ba2d917d0c038315d5ff2652e57c4398
COLEGIO NUEVO COLOMBO AMERICANO,CLAUDIA AYDEE GONZALEZ MORENO,colamericano@yahoo.com nrodriguez@cas.edu.co,6685077 EXT 144,KR 73 214 53,,367.8,22,71,https://icfes-django-dashboard-production.up.railway.app/colegio/b107faae51cf9e1823afbdd5d807ab96
COLEGIO SAN CARLOS,JUAN FERNANDO CORRAL,rector@sancarlos.edu.co,5929000 -- 5262170,CL 192 9 45,www.sancarlos.edu.co,365.9,26,88,https://icfes-django-dashboard-production.up.railway.app/colegio/8e17b6a6ca839df1304847dc03531e4d
COLEGIO BILINGÜE ABRAHAM LINCOLN,MILTON ANTONIO MARTINEZ VALERO,mmartinez@als.edu.do secretaria.academica@als.edu.co,7423166  --  6693701,IND AC 170 # 65 - 31  --  AC 170 # 51A - 81  --  KR 68 # 180 - 50,www.abrahamlincoln.edu.co,365.9,27,74,https://icfes-django-dashboard-production.up.railway.app/colegio/e868047d44f6480cab6ec503ca113f27
GIMNASIO VERMONT,RAQUEL ROJAS DE PEREZ,secretaria.academica@gimnasiovermont.edu.co,6723155 -- 6748070  --  5185757,CL 195 54 75,www.gimnasiovermont.edu.co,365.8,28,109,https://icfes-django-dashboard-production.up.railway.app/colegio/26499ad31db52efe0e09b0a78600746a
COLEGIO SAN MATEO APOSTOL BILINGÜE INTERNACIONAL,TELMO EDUARDO PEÑA AMAYA,info@csma.edu.co,6760885,CL 215 50 24,www.colegiosanmateoapostol.edu.co,362.0,38,68,https://icfes-django-dashboard-production.up.railway.app/colegio/c19ad5552a4177d7426bfad748cc0d7d
COLEGIO SAN JORGE DE INGLATERRA,JAIME HERNANDO ACOSTA ALLEN,sanjorge@sgs.edu.co,4324000,IND KR 92 # 156 - 58/88/90,www.sgs.edu.co,361.0,40,75,https://icfes-django-dashboard-production.up.railway.app/colegio/c914196fb6a306f02037e250ff312a7f
INSTITUTO ALBERTO MERANI,JULIAN DE ZUBIRIA SAMPER,director@institutomerani.edu.co secretaria@institutomerani.edu.co,6747100,AK 72 181 90,www.institutomerani.edu.co,360.7,42,38,https://icfes-django-dashboard-production.up.railway.app/colegio/4560aad0bcca1f2d29483ccb084c7ae3
COLEGIO LOS NOGALES,CAMILO ANDRES CAMARGO MEJIA,sec_academica@nogales.edu.co,6761128,CL 202 56 50,www.nogales.edu.co,360.6,43,62,https://icfes-django-dashboard-production.up.railway.app/colegio/967025b8dfdd3196e0a6fc53b46d49fa
REDCOL - COLEGIO SANTA FRANCISCA ROMANA,MARIA DEL ROSARIO CONCHA DIAZ GRANADOS,csfr@csfr.edu.co mrconcha@csfr.edu.co,5939898  --  5804444  --  3183888895,CL 151 16 40,www.csfr.edu.co,360.4,45,54,https://icfes-django-dashboard-production.up.railway.app/colegio/9943f845c730e94b0a779f3fe6ab8d91
COLEGIO SAN PATRICIO,SANDRA GOMEZ ARANGO,correo@colegiodesanpatricio.edu.co,6838640 -- 6815357,KR 80 137 02,www.colegiodesanpatricio.edu.co,359.3,49,28,https://icfes-django-dashboard-production.up.railway.app/colegio/1930e652d95adae5a971855d4ff92653
COLEGIO BILINGÜE BUCKINGHAM,JOHN MICHAEL WELLS,info@colegiobuckingham.com,6760812 -- 6760816,KR 52 214 55,www.colegiobuckingham.com,359.1,50,38,https://icfes-django-dashboard-production.up.railway.app/colegio/0e43273e2846caa324b1b93356ebc396
INSTITUTO SAN PABLO APOSTOL,WILSON ENRIQUE TOVAR ESCOBAR,ispa_libertador@ispaeducacion.edu.co,7462138/ 3123502075,KR 24 B 29 A 02 SUR,www.ispaeducacion.edu.co,357.8,54,67,https://icfes-django-dashboard-production.up.railway.app/colegio/6f943504c5790a70f711c4db4723d1fb
LICEO DE COLOMBIA BILINGÜE,CAROLINA CORREA BARBOSA,rectoria@lcb.edu.co secretaria.academica@lcb.edu.co,6019156250,AC 219 50 30,,357.4,56,63,https://icfes-django-dashboard-production.up.railway.app/colegio/b103dce8ef0dc7d390996af158ff01bd
GIMNASIO COLOMBO BRITANICO - BILINGÜE INTERNACIONAL,WALTER ABONDANO MIKAN,info@gcb.edu.co ruby.gonzalez@gcb.edu.co,6683999,IND AEROPUERTO GUAYMARAL COSTADO SUR OCCIDENTAL,www.gcb.edu.co,357.2,57,79,https://icfes-django-dashboard-production.up.railway.app/colegio/6bc6862dae292a9130668297bcf95fa3
LICEO HYPATIA,ALBA ROCIO PEREZ GUERRERO,liceohypatia@gmail.com,6813699 / 6842636 / 5380293,CL 153 94 32,,356.7,60,22,https://icfes-django-dashboard-production.up.railway.app/colegio/88afd6fdd7eedbf00caba48f5a0a6855
GIMNASIO DE LOS CERROS,EDUARDO MANRIQUE ANDRADE,info@loscerros.edu.co,6576000,CL 119 4 48,www.loscerros.edu.co,356.5,61,37,https://icfes-django-dashboard-production.up.railway.app/colegio/3cc8eba3236da91320f2ac889df68d08
LICEO DE CERVANTES,PADRE FRAY FRANCISCO JAVIER PINTO BOLAÑOS OSA.,secretariaacademica@liceocervantes.edu.co rectoria@liceocervantes.edu.co,6141174 -- 3134675837,CL 153 19 39,www.liceocervantes.edu.co,354.2,71,49,https://icfes-django-dashboard-production.up.railway.app/colegio/04643018809e46068d9cad83b000cf31
COLEGIO NUEVA INGLATERRA BILINGÜE INTERNACIONAL,DARBY DANILO ALMANZA RINCON.,cni@colegionuevainglaterra.edu.co,6760788 / 6760814,CL 218 50 60,www.colegionuevainglaterra.edu.co,353.4,77,58,https://icfes-django-dashboard-production.up.railway.app/colegio/03590579fc6d5a8ff719a10fb196213f
COLEGIO DEL ROSARIO DE SANTO DOMINGO,SOR MARTHA LUCIA CORREAL BERMUDEZ,info@rosariosantodomingo.edu.co,2171014 -- 2171000 -- 7171015 -- 2118718,CL 68 0 51 ESTE,www.rosariosantodomingo.edu.co,351.7,87,22,https://icfes-django-dashboard-production.up.railway.app/colegio/5646277bb0242782efa3b2af68c0f4c5
COLEGIO ITALIANO LEONARDO DA VINCI,FERNANDO VITA SUAREZ,fernandov@davinci.edu.co fernandovita@davinci.edu.co,2586295 -- 2586296 -- 2586434,KR 21 127 23,www.davinci.edu.co,351.6,88,70,https://icfes-django-dashboard-production.up.railway.app/colegio/70cbe8d9034169d1956dd0c114893182
COLEGIO INTERNACIONAL DE EDUCACION INTEGRAL - CIEDI - BILINGÜE INTERNACIONAL,SIMON ARTHUR FULFORD,info@ciedi.edu.co ciedi@openway.com.co,7569199 -- 6830604,KM 3 VIA SUBA COTA,www.ciedi.edu.co,350.0,96,45,https://icfes-django-dashboard-production.up.railway.app/colegio/c2a7ff8ba32f232685b0ffb9c1295cd7
COLEGIO CORAZONISTA,HNO FRANCISCO JAVIER IBAÑEZ SAENZ DE URTURI.,secretaria@corazonistabogota.com,6683360,CL 200 60 00,www.corazonistabogota.co,348.9,104,162,https://icfes-django-dashboard-production.up.railway.app/colegio/95a324e02e905e31924b37e0deb068b5
GIMNASIO LA MONTAÑA,MARIA MERCEDES DE BRIGARD MERCHAN,rectoria@glm.edu.co,6762129 / 6762128 / 6762130,KR 51 214 55,,347.4,117,34,https://icfes-django-dashboard-production.up.railway.app/colegio/5cf05db5abc0a0ea936c2354c365c78d
